loyalty_number,total_flights
100018,3
100102,14
100140,6
100214,0
100272,0
100301,0
100364,0
100380,0
100428,6
100504,0
100550,3
863070,15
100590,0
100642,0
100644,0
100646,0
100727,11
100737,0
100753,12
100816,10
100853,12
100883,11
100890,8
101018,9
101148,0
101356,0
101363,8
691626,15
101515,11
101540,0
101544,6
101547,0
101581,6
101594,11
101644,0
101663,0
101664,8
100504,0
101768,0
100504,0
101895,7
101902,0
101945,5
102168,0
102184,0
102207,0
102299,0
102308,0
102311,9
102376,0
102464,0
102615,0
102726,0
102730,0
102740,0
102788,0
159942,16
102877,2
102982,0
103043,9
103151,0
103217,15
103304,0
103340,0
103352,0
103359,6
103362,0
103383,0
103436,0
103490,10
103502,0
103536,6
103699,0
103731,10
103758,0
103823,3
103860,2
103862,0
103916,1
103969,12
103970,12
103975,0
103985,0
104103,6
104267,0
104353,17
627915,13
100504,0
104586,2
104673,8
104732,0
104739,0
104849,0
104960,0
105063,0
105073,0
105074,6
105145,0
105193,0
105214,11
100504,0
471706,22
105352,0
105552,0
105688,4
105700,0
105712,17
105789,10
105835,0
105841,0
105921,0
105932,19
105992,10
106001,13
106001,5
106037,8
106038,3
106046,8
106048,0
107119,16
106397,5
106444,0
106477,2
100504,0
100504,0
106589,0
106592,8
106616,0
106623,0
106637,0
106689,0
516133,16
106757,5
106776,0
106838,6
106839,2
106936,0
444931,18
106964,0
106978,1
106979,12
107037,0
107067,5
107119,12
107141,2
107203,0
107212,15
107296,0
107385,0
100504,14
107461,1
107466,0
107487,0
100504,0
107571,0
107649,11
107719,0
107730,0
107835,0
107902,11
107993,9
108264,4
100504,14
100504,9
409051,18
572345,19
108440,10
108462,0
108481,0
108528,1
108625,10
108666,0
100504,11
100504,10
108907,0
109022,10
245419,21
109029,0
109203,4
109399,11
109478,2
109495,0
109517,4
109552,14
100504,11
109660,7
109767,9
109840,4
109896,0
109903,4
100504,0
110001,7
100504,4
110065,0
110073,0
110099,0
100504,0
110170,0
100504,0
110262,2
110296,0
110394,3
110422,0
110476,0
100504,0
110678,0
110691,7
110752,4
111022,1
523897,15
111171,6
111176,7
111255,6
111286,9
111329,0
111387,0
111485,16
111507,0
111573,10
111584,0
100504,0
111788,4
100504,0
111912,0
112026,11
112142,0
112226,1
112393,0
100504,0
112632,0
100504,0
112678,0
112709,0
112732,0
112733,0
112797,0
112842,0
112856,7
112863,4
112894,0
113040,0
113184,0
113220,0
113293,0
100504,0
113363,0
113442,0
113476,6
113529,0
113558,0
101709,9
113656,0
184151,26
113694,3
113755,2
113779,0
113804,0
113831,2
113839,14
113861,0
113864,0
113874,0
113877,12
113904,0
113919,0
114018,8
114021,2
114131,0
101709,10
114219,0
892022,16
114307,7
114399,0
114414,12
114414,2
114493,11
114553,0
114638,6
114700,0
114743,0
114835,0
114857,0
114903,1
101709,0
114927,0
114983,0
115198,0
115322,2
539358,20
115405,5
115427,8
115505,0
115529,5
115633,0
115705,3
115749,0
115805,11
115852,0
116016,3
116045,0
116164,0
101709,7
116238,0
116288,0
116332,0
116372,0
116562,0
116703,12
116732,0
116735,8
116895,0
116897,0
486812,20
116948,0
116999,12
117033,0
117053,6
117169,0
117219,5
117240,0
117333,0
117342,10
117351,0
117358,0
117408,11
117456,2
117460,15
117482,0
117618,6
117725,0
117782,6
117832,0
117910,2
117915,0
117932,7
101709,6
101709,6
748649,19
118298,0
118320,6
118332,11
118355,0
118365,19
101709,17
118379,4
118418,0
101709,17
118514,0
118612,0
118628,0
118632,11
118675,1
118688,0
101709,11
118864,4
119009,13
119015,0
119135,8
119198,7
119200,0
119408,0
119460,0
119488,0
119519,3
119633,8
119634,8
119638,0
119690,0
119731,9
119837,2
119845,2
119917,0
119997,0
120046,0
120126,0
120140,15
120164,14
120192,4
120206,0
120393,10
120434,0
120554,3
393806,22
120594,2
120613,0
120635,0
120799,0
120868,0
975387,18
121095,14
121139,9
121183,0
101709,9
101709,10
121410,13
121469,0
121605,12
481076,23
121737,0
121751,0
121856,0
121919,0
121930,0
121935,0
121999,0
122009,0
122020,10
122049,0
122094,0
122166,0
122173,0
122206,0
122283,11
122357,14
122456,0
101709,5
122519,2
122545,0
122561,0
122577,0
168026,16
122797,0
122858,0
122890,0
122946,0
122958,13
123060,1
123083,8
123094,0
123115,4
123151,0
672570,25
123344,8
123393,12
123420,11
123525,8
123538,0
101709,6
123667,0
486200,12
123697,8
123702,1
123727,0
123773,0
123780,0
123784,0
567420,12
123908,3
123928,0
123944,0
124038,0
124056,9
101709,0
124088,0
124119,0
124195,0
124207,0
124351,9
124355,4
124377,0
124536,0
124678,3
124761,9
124931,0
124987,0
125059,0
125068,0
125300,3
125393,0
125493,0
125606,0
125919,10
125969,10
125996,4
126097,2
126100,0
101709,13
126181,0
126216,6
126219,0
126239,1
126262,10
101709,8
126424,2
126466,0
126490,6
126490,6
126526,0
126581,0
261582,11
127039,10
127052,0
127127,17
127128,0
511588,14
127185,0
127241,0
127279,10
127289,13
127311,1
127350,6
206680,17
127410,2
127496,0
127590,0
127645,0
127663,3
127725,0
127785,5
127827,7
127882,0
127946,0
127966,8
128007,0
128032,0
128039,9
128041,0
128156,13
128210,0
101709,0
128280,0
128325,0
128405,0
128459,15
128467,12
128475,1
128534,11
128572,0
128587,0
128611,0
128615,0
128633,11
128749,0
128753,0
101709,13
128789,6
128950,3
128975,0
129030,0
129071,0
129171,0
129328,0
129343,6
129372,17
129409,0
129429,10
129434,5
129510,8
129515,0
129533,8
129555,9
129743,0
129817,0
129827,8
129914,0
129976,6
130032,2
130077,3
130086,0
130179,0
130208,0
101709,0
130326,4
130331,0
130368,4
130419,0
101709,8
130446,6
130497,0
130548,0
130593,0
130823,2
130953,12
131001,0
131036,0
131047,15
131098,2
131228,0
131253,9
131257,9
131321,13
131342,9
131463,4
131558,0
131560,0
131637,0
131673,0
131680,0
131717,0
131721,0
131761,10
131772,2
131815,0
131893,12
131956,0
131990,4
131997,0
132045,0
132209,10
132296,0
132319,3
132320,0
132337,0
132552,0
132563,0
132592,1
132705,4
132756,0
132774,19
132884,15
132914,0
101709,0
132935,0
133035,0
133065,7
133066,0
133128,0
133324,9
133429,9
133463,0
133518,8
133608,1
133698,0
133730,0
133732,15
650657,13
133859,0
133956,8
134000,0
134012,0
134085,0
134148,0
721406,6
287927,6
134241,14
134273,4
134279,0
134397,0
134470,4
134717,1
945996,6
134760,11
134827,0
134847,0
134857,14
135016,0
135076,6
937946,6
135250,0
135257,0
135279,0
135312,6
135381,8
135382,6
135392,6
135421,0
135554,12
135574,0
420508,8
135635,0
559576,6
135841,3
101709,0
101709,0
135977,9
136020,13
136022,1
136049,0
136065,0
136089,5
136106,0
136121,11
136169,0
136230,0
136232,1
136334,9
136345,0
136430,10
136464,0
101709,0
136473,0
136516,7
136547,7
136608,0
136637,6
136715,0
101876,0
101876,0
136906,0
137020,0
137040,14
137106,0
137161,0
137185,3
137209,0
137227,0
137251,0
137383,0
101876,0
137646,11
137744,0
137751,0
137845,8
137850,0
137852,0
101876,0
137944,2
137952,11
137968,0
137973,0
101876,0
137999,13
101876,0
101876,0
138121,13
138204,0
138369,0
138421,6
138449,0
138475,19
138565,2
138653,0
138737,9
138746,0
138759,0
138768,15
138777,0
138810,0
138853,0
101876,0
138894,1
138896,10
138908,9
138981,6
138993,3
139022,0
139023,0
139087,4
139135,0
139270,0
139356,0
101876,0
139511,0
466795,6
139532,0
139600,0
139682,0
139699,0
139863,10
139932,8
139974,0
140005,9
140042,0
140077,0
140079,15
101876,0
140191,0
140208,14
140223,0
140290,13
140375,0
140381,0
140391,0
140392,0
140419,0
140483,0
140534,0
140598,15
717250,6
140735,0
140750,1
193824,6
140769,0
140823,2
140891,15
140977,0
141023,0
101876,6
141047,8
141139,9
141181,1
141233,2
141266,0
141456,0
141497,0
580212,10
141655,8
141703,0
141742,0
141844,0
141877,12
141945,9
142122,0
142190,4
142224,0
142290,0
142354,9
142371,6
101876,17
142511,0
142545,1
142609,0
142621,6
142649,0
142686,10
142715,1
142717,8
142726,0
142749,0
142763,0
142800,0
142812,12
142855,0
142906,0
142925,0
142950,1
143087,3
143151,0
143266,0
143389,11
143422,17
445145,9
846953,6
143981,12
144261,0
144301,0
144328,0
144355,0
144402,0
144514,11
144523,10
144565,9
105214,7
144615,13
144633,1
144641,0
144695,0
144702,0
144756,0
144830,0
144879,0
101876,8
144977,10
145017,0
145177,12
145192,0
145193,0
145220,0
145292,0
145322,15
145323,0
145449,0
145480,2
145542,0
145552,8
145688,0
145988,9
146028,4
146037,0
146067,3
146086,8
146090,0
146099,0
146215,11
146354,0
146400,0
146527,0
146560,0
146572,0
146702,0
146760,9
146839,3
