loyalty_number,loyalty_card,clv,province
480934,star,3839.14,ontario
549612,star,3839.61,alberta
429460,star,3839.75,british columbia
608370,star,3839.75,ontario
530508,star,3842.79,quebec
193662,star,3844.57,yukon
927943,star,3857.95,ontario
188893,star,3861.49,ontario
852392,star,3861.49,quebec
866307,star,3861.49,ontario
932823,star,3863.31,british columbia
144514,star,3864.78,british columbia
611765,star,3867.97,quebec
988178,star,3871.07,quebec
286114,star,3872.22,ontario
205785,star,3873.65,ontario
735304,star,3873.65,alberta
438936,star,3878.77,quebec
172755,aurora,5303.76,alberta
354730,star,3885.46,new brunswick
413741,star,3885.46,ontario
552965,star,3885.46,quebec
642313,star,3885.46,alberta
263080,star,3886.5,alberta
109767,star,3886.65,ontario
217754,star,3887.32,quebec
157005,star,3890.87,british columbia
557752,star,3890.87,ontario
608758,star,3890.96,ontario
599341,star,3891.54,quebec
333502,star,3891.58,british columbia
201574,star,3893.31,ontario
403361,star,3895.03,british columbia
543918,star,3896.57,quebec
806030,star,3903.47,alberta
119200,star,3903.8,british columbia
938981,aurora,5337.35,alberta
238119,star,3906.67,quebec
730388,star,3907.03,ontario
834891,star,3911.12,british columbia
127400,star,3914.72,british columbia
324557,star,3914.72,quebec
742002,star,3915.8,ontario
536567,star,3919.37,alberta
704835,star,3919.37,british columbia
733338,star,3919.37,ontario
758635,star,3919.37,quebec
823048,star,3919.37,british columbia
612905,star,3920.51,ontario
679908,star,3921.02,quebec
704150,star,3921.02,manitoba
869743,star,3924.42,ontario
596179,star,3933.81,new brunswick
370450,star,3934.1,ontario
501030,star,3934.71,british columbia
878633,star,3936.79,ontario
285938,star,3939.01,quebec
588237,star,3939.01,quebec
645280,star,3939.01,british columbia
864324,star,3939.01,quebec
124678,star,3954.34,nova scotia
186015,star,3954.34,british columbia
461108,star,3954.34,quebec
589580,star,3954.34,british columbia
623688,star,3954.34,ontario
386082,aurora,5391.97,alberta
256147,star,3958.0,ontario
329382,star,3961.59,quebec
140392,star,3963.39,british columbia
112522,aurora,5636.74,alberta
230908,star,3964.15,british columbia
972581,star,3964.53,british columbia
357549,star,3964.73,british columbia
330694,aurora,6172.91,alberta
910875,star,3966.13,quebec
501704,star,3974.86,quebec
529098,star,3974.86,british columbia
265297,star,3978.67,manitoba
567875,star,3979.72,quebec
688524,star,3980.42,manitoba
269070,star,3985.32,british columbia
387705,star,3985.32,quebec
923293,star,3985.55,saskatchewan
283314,star,3991.73,ontario
322102,star,3992.58,british columbia
789157,star,3995.36,british columbia
654748,star,3996.77,ontario
984713,star,3997.48,ontario
114835,star,4001.52,ontario
328936,star,4005.72,ontario
845864,star,4013.85,british columbia
645265,star,4013.95,quebec
223587,star,4013.96,british columbia
158560,star,4014.45,british columbia
417584,star,4014.45,british columbia
566033,star,4015.21,ontario
472521,aurora,6265.34,alberta
425854,star,4016.13,ontario
174896,star,4016.54,alberta
695855,star,4019.38,quebec
699511,star,4019.38,british columbia
377322,star,4023.81,alberta
511053,star,4023.81,ontario
890753,star,4025.1,quebec
796670,star,4035.68,manitoba
556136,star,4035.77,quebec
513081,star,4037.5,alberta
930718,star,4037.55,quebec
235872,star,4046.94,ontario
881142,star,4046.94,british columbia
295147,star,4048.16,british columbia
306110,star,4053.37,ontario
295217,star,4059.57,ontario
967300,aurora,6364.9,alberta
591731,star,4064.18,ontario
326905,star,4068.09,british columbia
375511,star,4070.05,quebec
485283,star,4072.85,ontario
920716,aurora,7098.91,alberta
797685,star,4079.13,alberta
216467,star,4083.56,new brunswick
958839,star,4083.56,quebec
539673,star,4087.51,ontario
746226,star,4089.04,british columbia
484718,star,4089.46,british columbia
528492,star,4090.75,quebec
995091,star,4095.2,british columbia
632793,star,4097.37,quebec
912220,star,4097.37,british columbia
382197,star,4100.47,british columbia
705196,star,4101.94,british columbia
123094,star,4103.85,british columbia
366540,aurora,7288.88,alberta
119488,star,4108.26,quebec
287750,star,4109.31,ontario
735846,star,4109.79,ontario
606026,star,4110.62,british columbia
460291,star,4111.2,british columbia
743001,star,4111.89,british columbia
869799,star,4111.89,ontario
520321,star,4112.84,ontario
279419,star,4117.37,british columbia
170585,star,4118.59,ontario
188340,star,4118.59,ontario
670817,star,4118.59,ontario
509513,star,4121.25,british columbia
779247,star,4122.57,manitoba
111255,star,4122.96,quebec
763061,star,4126.61,ontario
766335,aurora,7482.49,alberta
428919,star,4139.9,quebec
139863,star,4142.56,quebec
695755,star,4144.87,british columbia
355331,star,4145.02,ontario
578837,star,4152.65,ontario
603248,star,4157.7,british columbia
467182,star,4160.02,alberta
601407,star,4165.17,ontario
700871,star,4165.25,newfoundland
203809,star,4165.35,alberta
705589,star,4165.99,ontario
354438,star,4167.09,quebec
746060,star,4167.09,british columbia
469718,star,4167.42,ontario
164429,star,4169.36,british columbia
708373,star,4169.36,ontario
225088,star,4170.34,british columbia
100214,star,4170.57,british columbia
459999,star,4170.69,quebec
553936,star,4170.69,ontario
268128,star,4177.88,ontario
930584,star,4185.76,british columbia
327796,star,4191.06,quebec
947467,star,4196.43,british columbia
743510,star,4196.65,british columbia
580324,star,4198.03,british columbia
845613,star,4198.03,quebec
645919,aurora,7484.31,alberta
423324,star,4200.37,quebec
101945,star,4202.66,nova scotia
713636,star,4212.8,ontario
302509,star,4213.92,british columbia
789421,star,4217.86,british columbia
914255,star,4217.86,ontario
675879,aurora,8000.55,alberta
404426,star,4223.27,british columbia
260106,star,4228.25,manitoba
827194,aurora,8255.76,alberta
438023,star,4228.73,british columbia
397518,star,4235.18,saskatchewan
645742,star,4235.18,ontario
872932,star,4236.3,quebec
407945,star,4236.47,new brunswick
211714,star,4236.84,british columbia
410982,star,4237.37,ontario
905213,star,4237.37,british columbia
147898,star,4241.64,quebec
530105,star,4242.69,ontario
610946,star,4244.47,manitoba
383108,star,4247.68,british columbia
836343,star,4247.68,ontario
110262,aurora,9427.68,alberta
585357,star,4250.28,quebec
784804,star,4250.28,alberta
719633,star,4250.78,british columbia
715764,star,4253.28,manitoba
753473,star,4254.62,ontario
980856,star,4254.62,nova scotia
271660,star,4270.03,british columbia
342980,aurora,19480.5,alberta
830547,star,4271.2,british columbia
264936,star,4272.81,british columbia
436498,star,4272.81,quebec
976513,star,4273.59,quebec
828776,star,4274.62,ontario
240362,star,4276.36,ontario
137845,star,4277.27,british columbia
430569,star,4277.56,quebec
317001,star,4282.95,ontario
625870,star,4282.95,ontario
660554,star,4282.95,alberta
917630,star,4282.95,ontario
670686,star,4291.06,ontario
717660,star,4293.01,british columbia
450621,star,4296.6,quebec
939562,star,4297.02,ontario
135250,star,4298.66,ontario
714555,star,4299.84,ontario
947868,star,4300.9,quebec
573661,star,4303.64,quebec
228580,star,4305.79,ontario
557500,star,4305.81,ontario
238233,star,4307.42,ontario
979309,star,4312.77,quebec
342483,aurora,23706.11,alberta
833569,star,4314.07,saskatchewan
120046,star,4314.17,new brunswick
816881,star,4314.17,quebec
717700,star,4315.79,british columbia
384146,nova,2790.23,alberta
245465,star,4319.15,ontario
510372,star,4322.24,ontario
709920,star,4327.1,british columbia
156031,star,4328.37,quebec
143784,star,4330.39,quebec
602176,star,4330.39,quebec
870998,star,4330.39,british columbia
958224,star,4330.39,british columbia
837628,star,4330.77,british columbia
395460,star,4330.8,alberta
136547,star,4331.46,alberta
780631,star,4331.46,ontario
166712,star,4334.06,saskatchewan
217695,star,4334.06,ontario
263707,star,4334.06,nova scotia
638368,star,4334.06,quebec
695529,star,4334.06,british columbia
871203,star,4334.06,ontario
915571,star,4334.06,british columbia
642109,star,4335.35,british columbia
833701,star,4340.86,british columbia
275442,star,4349.31,new brunswick
374345,star,4349.31,saskatchewan
384825,star,4349.31,ontario
559233,star,4349.31,ontario
564650,star,4349.31,british columbia
277649,star,4358.76,ontario
176885,star,4361.37,british columbia
732013,star,4361.37,ontario
793318,star,4362.77,british columbia
830024,star,4362.77,quebec
223684,star,4362.93,ontario
723262,star,4362.93,alberta
879892,star,4363.12,ontario
966117,star,4363.12,alberta
258358,star,4363.2,quebec
265836,star,4364.31,quebec
474174,star,4365.26,ontario
474172,star,4369.04,ontario
202299,star,4373.36,new brunswick
497467,star,4373.36,quebec
971902,star,4376.08,ontario
134279,star,4376.36,ontario
474757,star,4376.36,new brunswick
635225,star,4376.36,british columbia
980198,star,4376.36,quebec
995693,star,4376.36,alberta
861924,star,4377.53,nova scotia
639383,star,4381.18,ontario
769731,star,4381.88,ontario
884530,star,4381.88,british columbia
207372,star,4383.15,saskatchewan
236300,star,4384.35,ontario
543553,star,4386.28,ontario
639701,star,4386.28,ontario
998090,star,4389.28,british columbia
283747,star,4389.95,quebec
863122,star,4395.89,ontario
816593,star,4398.05,british columbia
440939,star,4419.12,manitoba
531201,star,4419.54,british columbia
